BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
111.8321	-7.8102	8	JAWA	JAWA TIMUR	KEDIRI	BANYAKAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.8336	-7.8052	8	JAWA	JAWA TIMUR	KEDIRI	BANYAKAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.0590	-7.7734	8	JAWA	JAWA TIMUR	KEDIRI	GAMPENGREJO	NOAA20	2023-08-24	00:58:57	1125	Pixel		
112.1175	-7.9539	8	JAWA	JAWA TIMUR	KEDIRI	NGANCAR	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.8218	-7.8202	8	JAWA	JAWA TIMUR	KEDIRI	SEMEN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.8247	-7.8206	8	JAWA	JAWA TIMUR	KEDIRI	SEMEN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.8227	-7.8202	8	JAWA	JAWA TIMUR	KEDIRI	SEMEN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.8238	-7.8201	8	JAWA	JAWA TIMUR	KEDIRI	SEMEN	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.2292	-6.8867	7	JAWA	JAWA TIMUR	LAMONGAN	BRONDONG	AQUA	2023-08-24	13:18:00	3000	Pixel		
112.2163	-7.2083	8	JAWA	JAWA TIMUR	LAMONGAN	KEDUNGPRING	NOAA20	2023-08-24	13:38:34	1125	Pixel		
112.1433	-7.2455	7	JAWA	JAWA TIMUR	LAMONGAN	MODO	SNPP	2023-08-24	12:45:57	1125	Pixel		
112.2464	-7.0287	8	JAWA	JAWA TIMUR	LAMONGAN	SEKRAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.3100	-8.1496	8	JAWA	JAWA TIMUR	LUMAJANG	JATI ROTO	NOAA20	2023-08-24	13:38:34	1125	Pixel		
113.3081	-8.1476	8	JAWA	JAWA TIMUR	LUMAJANG	JATI ROTO	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.3432	-8.1108	8	JAWA	JAWA TIMUR	LUMAJANG	JATI ROTO	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.3436	-8.1112	8	JAWA	JAWA TIMUR	LUMAJANG	JATI ROTO	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.2562	-8.0233	8	JAWA	JAWA TIMUR	LUMAJANG	KALKAH	SNPP	2023-08-24	12:45:57	1125	Pixel		
112.9206	-8.0584	7	JAWA	JAWA TIMUR	LUMAJANG	PASRUJAMBE	AQUA	2023-08-24	13:18:00	3000	Pixel		
111.5035	-7.5918	8	JAWA	JAWA TIMUR	MADIUN	JIWAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.5052	-7.5933	8	JAWA	JAWA TIMUR	MADIUN	JIWAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.7552	-7.5236	8	JAWA	JAWA TIMUR	MADIUN	SARADAN	AQUA	2023-08-24	13:18:00	3000	Pixel		
111.7219	-7.5441	8	JAWA	JAWA TIMUR	MADIUN	SARADAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.7602	-7.5203	8	JAWA	JAWA TIMUR	MADIUN	SARADAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.4990	-7.5405	8	JAWA	JAWA TIMUR	MAGETAN	KARTOHARJO	NOAA20	2023-08-24	00:58:57	1125	Pixel		
112.5644	-8.3237	8	JAWA	JAWA TIMUR	MALANG	BANTUR	SNPP	2023-08-24	12:45:57	1125	Pixel		
112.6046	-8.2573	8	JAWA	JAWA TIMUR	MALANG	GEDANGAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
112.4272	-7.3349	8	JAWA	JAWA TIMUR	MOJOKERTO	DAWARBLANDONG	NOAA20	2023-08-24	00:58:57	1125	Pixel		
112.4152	-7.3256	8	JAWA	JAWA TIMUR	MOJOKERTO	DAWARBLANDONG	NOAA20	2023-08-24	00:58:57	1125	Pixel		
112.4108	-7.3249	8	JAWA	JAWA TIMUR	MOJOKERTO	DAWARBLANDONG	NOAA20	2023-08-24	00:58:57	1125	Pixel		
